id,rel_output,rel_type
trm_4a3fd79d09aed,trm_4a3fd79d0b548,isKindOf
trm_4a3fd79d09aed,trm_4a3fd79d0b1f7,isPartOf
trm_4a3fd79d09aed,trm_4a3fd79d0a769,isPartOf
trm_4a3fd79d09af8,trm_4a3fd79d09af8,isSelf
trm_4a3fd79d09af8,ctp_C6,inCategory
trm_4a3fd79d09af8,trm_55ef687f48a9d,isKindOf
trm_4a3fd79d09af8,trm_558c7b14c076e,isPartOf
trm_4a3fd79d09b04,trm_4a3fd79d09b04,isSelf
trm_4a3fd79d09b04,ctp_C5,inCategory
trm_4a3fd79d09b04,trm_4a3fd79d0ba48,hasPart
trm_4a3fd79d09b04,trm_4a3fd79d0ac61,hasPart
trm_4a3fd79d09b04,trm_4a3fd79d0b5a7,isKindOf
trm_4a3fd79d09b10,trm_4a3fd79d09b10,isSelf
trm_4a3fd79d09b10,ctp_C5,inCategory
trm_4a3fd79d09b10,trm_4a3fd79d09b1c,hasPart
trm_4a3fd79d09b10,trm_4a3fd79d0a1f4,isKindOf
trm_4a3fd79d09b1c,trm_4a3fd79d09b1c,isSelf
trm_4a3fd79d09b1c,trm_4ff1fc04e22e8,hasPart
trm_4a3fd79d09b1c,trm_4a3fd79d0b95b,isKindOf
trm_4a3fd79d09b1c,trm_4a3fd79d09b10,isPartOf
trm_4a3fd79d09b28,trm_4a3fd79d09b28,isSelf
trm_4a3fd79d09b28,ctp_C5,inCategory
trm_4ff1fc04e22e8,trm_4ff1fc04e22e8,isSelf
trm_4ff1fc04e22e8,trm_4a3fd79d09e35,isKindOf
trm_4ff1fc04e22e8,trm_4a3fd79d0a1f4,isPartOf
trm_4ff1fc04e22e8,trm_4a3fd79d09b1c,isPartOf
trm_4a3fd79d09b33,trm_4a3fd79d09b33,isSelf
trm_4a3fd79d09b33,ctp_C3,inCategory
trm_4a3fd79d09b33,trm_4a3fd79d09d58,isKindOf
trm_4a3fd79d09b3f,trm_4a3fd79d09b3f,isSelf
trm_4a3fd79d09b3f,ctp_C5,inCategory
trm_4a3fd79d09b62,trm_4a3fd79d09b62,isSelf
trm_4a3fd79d09b62,ctp_C3,inCategory
trm_50eb56a7867db,trm_50eb56a7867db,isSelf
trm_50eb56a7867db,trm_4a3fd79d0a972,isKindOf
trm_4a3fd79d09b79,trm_4a3fd79d09b79,isSelf
trm_4a3fd79d09b79,trm_4ee8facd77dfc,isKindOf
trm_4b7c270940f9d,trm_4b7c270940f9d,isSelf
trm_4b7c270940f9d,ctp_C4,inCategory
trm_4b7c270940f9d,trm_4fe8edc62f613,isPartOf
trm_4b7c270940f9d,trm_4aae62e4ad209,isPartOf
trm_4b7c27094a093,trm_4b7c27094a093,isSelf
trm_4a3fd79d09b85,trm_4a3fd79d09b85,isSelf
trm_4a3fd79d09b9c,trm_4a3fd79d09b9c,isSelf
trm_4a3fd79d09b9c,ctp_C1,inCategory
trm_4a3fd79d09b9c,trm_4fea04a02ce37,isKindOf
trm_4fea04a02ce37,trm_4fea04a02ce37,isSelf
trm_4fea04a02ce37,trm_4a3fd79d0b279,hasKind
trm_4fea04a02ce37,trm_4a3fd79d09b9c,hasKind
trm_4fea04a02ce37,trm_4a3fd79d09bbf,hasPart
trm_4fea04a02ce37,trm_4a3fd79d0a0a1,isPartOf
trm_4a3fd79d09bb3,trm_4a3fd79d09bb3,isSelf
trm_4a3fd79d09bb3,ctp_C1,inCategory
trm_4a3fd79d09bb3,trm_4a3fd79d0b279,isPartOf
trm_500d8626d0770,trm_500d8626d0770,isSelf
